ID,abbreviation,name,Zip,latitude,longitude,TSR,logo,newscasts,localstories,Sum of NPR One Large Logo,Sum of NPR One Display Name,Sum of Station Hello,Sum of Pledge URL,Sum of Pledge Audio,Sum of *ANY* Sonic ID,cume,npronelogo
144,SCPR,Southern California Public Radio ,91105,34.1406082,-118.1678543,21423698,station_logos/scpr.gif,1,1,1,4,0,0,2,4,149285,npr_one_logos/scpr.png
146,KPCW-FM,KPCW,,40.636545,-111.499133,,,0,0,0,0,0,0,0,0,0,
148,KPLU-FM,KPLU,98447,47.1427431,-122.4407344,7404732,station_logos/kplu_fm.gif,1,1,1,1,0,1,0,0,358490,npr_one_logos/kplu_fm.png
150,KQED,KQED Public Media,94110,37.7485824,-122.4184108,32582010,station_logos/kqed.gif,1,1,1,2,1,1,2,1,238903,npr_one_logos/kqed.png
152,KRBD-FM,KRBD,,55.360945,-131.685431,,,0,0,0,0,0,0,0,0,0,
153,KRCB-FM,KRCB,,38.343782,-122.701195,,station_logos/krcb_fm.gif,0,0,0,1,0,1,0,0,0,
154,KRCC-FM,KRCC,80903,38.8413423,-104.8162784,,station_logos/krcc_fm.gif,0,1,1,1,0,1,0,0,11986,npr_one_logos/krcc_fm.png
155,KRCU-FM,KRCU,63701,37.3067825,-89.5247581,695056,station_logos/krcu_fm.gif,1,1,1,1,1,1,1,1,0,npr_one_logos/krcu_fm.png
156,NWPR,Northwest Public Radio,99164,46.7287207,-117.1542743,,station_logos/nwpr.gif,0,0,1,19,0,0,0,0,0,npr_one_logos/nwpr.png
165,KRPS-FM,KRPS,66762,37.3960411,-94.7070616,,station_logos/krps_fm.gif,0,0,0,0,0,0,0,0,0,
166,KRVS-FM,KRVS,,30.214876,-92.019361,,station_logos/krvs_fm.gif,0,0,0,0,0,0,0,0,5903,
167,KRWG-FM,KRWG,,32.277755,-106.745579,,station_logos/krwg_fm.gif,0,0,1,1,0,1,0,0,3524,npr_one_logos/krwg_fm.png
168,APTI,Alaska Public Media,99508,61.1995461,-149.823974,,station_logos/apti.gif,0,0,1,0,0,0,0,0,0,
170,KSMU-FM,KSMU,,37.156515,-93.248306,,station_logos/ksmu_fm.gif,0,0,1,2,0,0,0,0,6934,npr_one_logos/ksmu_fm.png
172,JPR,Jefferson Public Radio,97520,42.1990323,-122.4562968,2227106,station_logos/jpr.gif,0,1,1,2,0,1,0,0,0,npr_one_logos/jpr.png
188,TPR,Texas Public Radio,78229,29.5060908,-98.577596,1927193,station_logos/tpr.gif,0,1,1,4,0,0,0,0,29387,
191,KSUT,Four Corners Public Radio,81137,37.0952788,-107.71625,,,0,0,0,0,0,0,0,0,5825,
194,KTEP-FM,KTEP,79968,31.7701607,-106.5047596,902188,station_logos/ktep_fm.gif,0,1,0,0,0,1,0,0,4375,
195,KTOO-FM,KTOO,,58.349227,-134.52345,,station_logos/ktoo_fm.gif,0,0,1,1,0,0,0,0,0,npr_one_logos/ktoo_fm.png
196,KUAC-FM,KUAC,,64.81707,-147.87928,,station_logos/kuac_fm.gif,0,0,0,0,0,1,0,0,3849,
197,KUAF-FM,KUAF,72701,35.9980929,-94.0899911,1315726,station_logos/kuaf_fm.gif,1,1,1,1,0,0,0,0,10820,npr_one_logos/kuaf_fm.png
198,KUAR,UALR Public Radio,72204,34.7179437,-92.3714901,1270952,station_logos/kuar.gif,1,1,0,2,0,2,1,0,10432,
203,NET,NET Radio,68501,40.8185796,-96.7112722,,,0,0,0,0,0,0,0,0,10289,
213,KUER-FM,KUER 90.1,84112,40.7652201,-111.8419536,3626247,station_logos/kuer_fm.gif,0,1,1,1,0,0,0,0,31558,npr_one_logos/kuer_fm.png
214,MTPR,Montana Public Radio,59812,46.861557,-113.9842701,2795397,station_logos/mtpr.gif,0,1,0,1,0,0,0,0,11587,
220,KUHF-FM,Houston Public Media News 88.7,77204,29.7260266,-95.3481641,10538502,station_logos/kuhf_fm.gif,0,1,1,1,0,0,0,0,25330,npr_one_logos/kuhf_fm.png
221,KMST,Public Radio KMST,65401,37.8387943,-91.714958,856398,station_logos/kmst.gif,1,0,1,2,2,0,0,0,851,npr_one_logos/kmst.png
223,KUNC-FM,KUNC,80634,40.3962637,-104.7871004,2785628,station_logos/kunc_fm.gif,1,1,1,5,0,0,0,1,32468,npr_one_logos/kunc_fm.png
227,KUNM-FM,KUNM,87131,35.09,-106.62,2499327,station_logos/kunm_fm.gif,1,1,1,5,0,1,0,0,18574,npr_one_logos/kunm_fm.png
228,KUNR-FM,Reno Public Radio,89557,39.5445866,-119.8167317,1465770,station_logos/kunr_fm.gif,0,1,0,0,0,0,0,0,0,
231,KUOW,KUOW,98105,47.6614244,-122.2683743,12565175,station_logos/kuow.gif,1,1,1,3,0,0,0,0,92046,npr_one_logos/kuow.png
237,SDPB,SDPB Radio,57069,42.8467589,-96.9638624,1705324,station_logos/sdpb.gif,1,1,1,2,0,1,0,0,9292,npr_one_logos/sdpb.png
247,KUSP-FM,88.9 KUSP & KUSP.ORG,,36.96779,-121.987122,,station_logos/kusp_fm.gif,0,0,0,0,0,0,0,0,0,
249,UPR,Utah Public Radio,84322,41.6577331,-111.8434441,1132760,station_logos/upr.gif,0,1,0,1,0,0,0,0,3210,
252,KUT-FM,KUT 90.5,78712,30.2835151,-97.7348805,9739392,station_logos/kut_fm.gif,1,1,1,1,0,0,0,0,36983,npr_one_logos/kut_fm.png
255,WPRN,Wyoming Public Radio,82071,41.3125068,-105.5855777,3087571,station_logos/wprn.gif,1,1,1,6,0,16,0,0,15399,npr_one_logos/wprn.png
270,KVCR-FM,KVCR,92410,34.0961955,-117.3087578,1035350,station_logos/kvcr_fm.gif,1,1,1,1,0,1,0,0,3,npr_one_logos/kvcr_fm.png
271,KVLU-FM,KVLU,,30.05,-94.08,,station_logos/kvlu_fm.gif,0,0,0,0,0,0,0,0,0,
272,KVPR,Valley Public Radio,93711,36.8381393,-119.829443,1661801,station_logos/kvpr.gif,0,1,1,1,1,1,0,0,6471,npr_one_logos/kvpr.png
275,KWBU-FM,KWBU,,31.547022,-97.124329,,station_logos/kwbu_fm.gif,0,0,0,0,0,0,0,0,0,
276,KWGS-FM,Public Radio Tulsa,,36.142324,-95.956825,,station_logos/kwgs_fm.gif,0,0,0,0,0,0,0,0,12268,
277,KWIT-FM,KWIT,,42.464404,-96.333242,,,0,0,0,0,0,0,0,0,1169,
278,KWMU-FM,St. Louis Public Radio,63108,38.647459,-90.25731,7239163,station_logos/kwmu_fm.gif,1,1,1,2,0,2,0,1,33779,npr_one_logos/kwmu_fm.png
283,KXCV-FM,KXCV,64468,40.349238,-94.8728093,811871,station_logos/kxcv_fm.gif,0,0,1,1,0,0,0,0,0,npr_one_logos/kxcv_fm.png
285,KXJZ,Capital Public Radio,95826,38.5499634,-121.3884671,,station_logos/kxjz.gif,0,0,1,0,0,1,0,0,54369,npr_one_logos/kxjz.png
291,KZYX,Mendocino County Public Broadcasting,95466,39.1028702,-123.5056016,,,0,0,0,0,0,0,0,0,0,
295,WABE-FM,WABE 90.1,30324,33.81842,-84.3594626,8644375,station_logos/wabe_fm.gif,0,1,1,1,0,0,0,0,55742,npr_one_logos/wabe_fm.png
296,WAER-FM,WAER,13244,43.0478261,-76.1432291,1531018,station_logos/waer_fm.gif,0,1,1,1,0,0,0,0,8147,npr_one_logos/waer_fm.png
305,WAMU-FM,WAMU 88.5,20016,38.9374808,-77.0852258,20324283,station_logos/wamu_fm.gif,1,1,1,1,0,1,0,1,222986,npr_one_logos/wamu_fm.png
306,WBAA-FM,WBAA Classical,47907,40.4401775,-86.9261008,1793269,station_logos/wbaa_fm.gif,0,1,1,1,0,1,0,0,0,npr_one_logos/wbaa_fm.png
308,WBEZ,WBEZ,60611,41.8925085,-87.6161696,20864961,station_logos/wbez.gif,1,1,1,2,0,0,0,0,88944,npr_one_logos/wbez.png
310,WBFO-FM,WBFO-FM 88.7,14240,42.8869008,-78.8226909,1541038,station_logos/wbfo_fm.gif,0,1,1,0,0,0,0,0,22514,npr_one_logos/wbfo_fm.png
315,WBHM-FM,WBHM 90.3 FM,35233,33.5065561,-86.8044586,2073206,station_logos/wbhm_fm.gif,0,0,0,1,0,1,0,0,0,
318,WBLV-FM,Blue Lake Public Radio,,43.36284,-86.195517,,station_logos/wblv_fm.gif,0,0,0,0,0,0,0,0,0,
320,NIPR,89.1 WBOI,46898,41.13,-85.13,1004561,,0,0,1,2,0,0,0,0,7516,npr_one_logos/nipr.png
323,IPR,Indiana Public Radio,47306,40.1984632,-85.4136959,,station_logos/ipr.gif,0,0,0,0,0,0,0,0,0,
